#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2009-07-23,7.822,13.579,14.1,18.538,9.946,49.19,15.266,27.983,63.228,60.245,2
2009-07-24,29.626,12.239,20.904,60.54,53.385,7.822,13.579,14.1,18.538,9.946,1
2009-07-27,19.995,-0.71,14.037,48.328,36.431,5.826,9.582,16.217,15.227,13.406,1
2009-07-28,28.971,5.98,10.3,46.58,32.674,19.995,-0.71,14.037,48.328,36.431,0
2009-07-29,22.363,13.378,8.252,24.991,17.977,28.971,5.98,10.3,46.58,32.674,-1
2009-07-30,12.661,8.437,8.898,60.146,37.828,22.363,13.378,8.252,24.991,17.977,1
2009-07-31,19.336,24.292,19.985,45.615,37.562,12.661,8.437,8.898,60.146,37.828,1
2009-08-03,1.502,11.512,7.856,27.287,15.729,39.854,27.415,26.979,45.326,46.461,1
2009-08-04,36.963,18.231,2.966,45.58,42.578,1.502,11.512,7.856,27.287,15.729,1
2009-08-05,13.141,20.962,27.169,41.033,29.292,36.963,18.231,2.966,45.58,42.578,-1
2009-08-06,7.966,28.191,29.561,22.655,17.979,13.141,20.962,27.169,41.033,29.292,-1
2009-08-07,-11.5,29.254,39.617,12.059,6.304,7.966,28.191,29.561,22.655,17.979,1
2009-08-10,14.27,22.729,21.832,38.432,28.784,23.887,16.859,12.756,38.856,31.725,-1
2009-08-11,18.31,12.094,20.082,53.223,37.767,14.27,22.729,21.832,38.432,28.784,-1
2009-08-12,33.852,3.237,14.146,39.542,40.06,18.31,12.094,20.082,53.223,37.767,1
2009-08-13,17.084,45.404,25.04,25.878,24.491,33.852,3.237,14.146,39.542,40.06,1
2009-08-14,40.48,11.78,28.439,35.259,33.708,17.084,45.404,25.04,25.878,24.491,-1
2009-08-17,14.752,25.001,20.264,24.733,21.051,25.104,23.36,17.474,54.368,44.222,-2
2009-08-18,57.243,18.593,19.186,76.23,70.201,14.752,25.001,20.264,24.733,21.051,1
2009-08-19,51.51,12.971,15.713,49.645,49.916,57.243,18.593,19.186,76.23,70.201,1
2009-08-20,33.489,32.747,19.812,72.685,54.868,51.51,12.971,15.713,49.645,49.916,1
2009-08-21,24.937,19.168,9.802,75.331,48.68,33.489,32.747,19.812,72.685,54.868,2
2009-08-24,48.457,25.832,27.055,57.66,51.299,34.158,16.134,18.51,38.469,37.532,0
2009-08-25,22.988,16.475,16.306,44.449,36.282,48.457,25.832,27.055,57.66,51.299,1
2009-08-26,18.035,14.934,26.344,17.589,16.112,22.988,16.475,16.306,44.449,36.282,0
2009-08-27,20.944,36.75,22.565,31.406,25.897,18.035,14.934,26.344,17.589,16.112,1
2009-08-28,35.451,20.478,29.251,47.8,46.825,20.944,36.75,22.565,31.406,25.897,-1
2009-08-31,30.232,4.711,29.023,49.749,40.846,27.808,11.098,24.028,39.575,32.371,-1
2009-09-01,44.665,9.962,27.277,64.183,51.445,30.232,4.711,29.023,49.749,40.846,-2
2009-09-02,34.499,3.625,15.426,49.718,39.172,44.665,9.962,27.277,64.183,51.445,-1
2009-09-03,25.44,31.24,31.985,39.142,29.467,34.499,3.625,15.426,49.718,39.172,1
