#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2011-06-13,10.9260763612,13.2673867641,10.912777748,13.9887079917,0
2011-06-14,11.449399225,12.9739881419,10.9260763612,13.2673867641,1
2011-06-15,13.1176448713,14.6687395476,11.449399225,12.9739881419,-2
2011-06-16,7.8077713012,9.2971661505,13.1176448713,14.6687395476,1
2011-06-17,8.0553171122,12.2058658079,7.8077713012,9.2971661505,1
2011-06-20,11.4058754008,15.8282133775,9.5873019587,13.2377814383,1
2011-06-21,8.2018225695,11.3765956277,11.4058754008,15.8282133775,1
2011-06-22,7.0039694706,12.2395737734,8.2018225695,11.3765956277,-1
2011-06-23,13.5334626985,18.4633954403,7.0039694706,12.2395737734,-1
2011-06-24,8.0685683296,9.8546162601,13.5334626985,18.4633954403,-1
2011-06-27,13.7127400527,14.0338149534,11.1083961084,13.870935378,1
2011-06-28,9.9653190511,13.9560043145,13.7127400527,14.0338149534,2
2011-06-29,8.2007978017,12.1436853902,9.9653190511,13.9560043145,1
2011-06-30,8.5230947283,11.7995796898,8.2007978017,12.1436853902,2
2011-07-01,9.3412625013,10.76126627,8.5230947283,11.7995796898,2
2011-07-05,8.1260245223,13.8309780837,7.5909015856,10.409699653,0
2011-07-06,8.6795970626,10.6967923039,8.1260245223,13.8309780837,1
2011-07-07,14.0866265606,14.4708463441,8.6795970626,10.6967923039,1
2011-07-08,9.5389458419,15.4502483792,14.0866265606,14.4708463441,-1
2011-07-11,8.8454000719,14.4080775842,15.0993725835,18.3022995108,-2
2011-07-12,11.3624145627,11.9245407331,8.8454000719,14.4080775842,-1
2011-07-13,12.3263561934,15.4208540256,11.3624145627,11.9245407331,1
2011-07-14,9.0219544834,8.9603120004,12.3263561934,15.4208540256,-1
2011-07-15,7.0635684204,9.7243502828,9.0219544834,8.9603120004,1
2011-07-18,7.791476783,11.7652417027,10.5300416893,13.059589878,-1
2011-07-19,10.9451062949,11.052509201,7.791476783,11.7652417027,2
2011-07-20,17.1129971076,15.65540856,10.9451062949,11.052509201,0
2011-07-21,9.5672809228,11.9468225733,17.1129971076,15.65540856,2
2011-07-22,6.9187201848,9.0319355299,9.5672809228,11.9468225733,-1
2011-07-25,13.4149218789,16.289414666,14.9927859315,16.5021482918,-1
2011-07-26,13.2478278388,14.8317318376,13.4149218789,16.289414666,-1
2011-07-27,8.8124727572,14.1663043169,13.2478278388,14.8317318376,-2
2011-07-28,9.4284842231,13.5924710314,8.8124727572,14.1663043169,-1
2011-07-29,11.3081468119,12.7461839367,9.4284842231,13.5924710314,-1
2011-08-01,9.0902810708,14.2451498254,7.7809173794,13.1783680408,0
2011-08-02,10.7358113086,12.4039782708,9.0902810708,14.2451498254,-2
2011-08-03,9.770992178,13.5565876921,10.7358113086,12.4039782708,1
2011-08-04,12.8487229762,16.2780544354,9.770992178,13.5565876921,-2
2011-08-05,9.167005545,8.6350463387,12.8487229762,16.2780544354,1
2011-08-08,9.9340105824,11.1995628409,11.3283043807,16.0763218716,-2
2011-08-09,7.7051904052,11.4620559258,9.9340105824,11.1995628409,2
2011-08-10,9.0686544684,17.6175869315,7.7051904052,11.4620559258,-2
2011-08-11,10.9057544265,12.8873794538,9.0686544684,17.6175869315,2
2011-08-12,12.0823075279,19.7663402684,10.9057544265,12.8873794538,1
2011-08-15,6.3232090315,8.7254663814,13.4494573967,14.4350398318,2
2011-08-16,6.5272054546,9.5643749681,6.3232090315,8.7254663814,-1
2011-08-17,14.4196992917,15.1677157809,6.5272054546,9.5643749681,1
2011-08-18,10.5509419639,12.691853236,14.4196992917,15.1677157809,-2
2011-08-19,10.5702135491,15.5695213131,10.5509419639,12.691853236,-2
2011-08-22,6.6310206438,11.8669908011,11.2450982497,14.043789372,1
2011-08-23,11.1372051959,15.200951568,6.6310206438,11.8669908011,2
2011-08-24,10.4942775607,14.08964643,11.1372051959,15.200951568,2
2011-08-25,8.9314066838,12.8275356352,10.4942775607,14.08964643,-2
2011-08-26,13.8471040458,18.7770913266,8.9314066838,12.8275356352,1
2011-08-29,9.5966307278,11.5546545814,7.5137147422,10.8173886316,2
2011-08-30,9.6176482965,8.5346185984,9.5966307278,11.5546545814,1
2011-08-31,10.0825280972,13.8384958317,9.6176482965,8.5346185984,1
2011-09-01,13.9320137971,15.6496437488,10.0825280972,13.8384958317,-1
2011-09-02,10.0970858596,11.9706439916,13.9320137971,15.6496437488,-2
2011-09-06,11.8421805023,13.6331326739,7.2648550014,12.6836223951,-1
2011-09-07,10.8298915161,10.8031162471,11.8421805023,13.6331326739,2
2011-09-08,13.7410875634,20.8278837747,10.8298915161,10.8031162471,-1
