#Date,news positivity,news negativity,stock change
2010-01-07,13.8257427903,18.1616674204,1
2010-01-08,13.4216800006,15.0058731346,0
2010-01-11,12.2886725149,18.857060527,1
2010-01-12,15.566541799,21.9867452838,-1
2010-01-13,13.5314084642,17.7275025996,1
2010-01-14,12.4298446064,19.180834311,1
2010-01-15,10.5168537997,14.547907021,-1
2010-01-19,7.8824018766,11.7998929647,1
2010-01-20,12.9077652984,14.1858489509,-1
2010-01-21,15.6984057658,15.5470754122,-2
2010-01-22,14.8970306555,18.8223420999,-2
2010-01-25,13.2586096809,18.2592524861,1
2010-01-26,11.0170690768,16.9975059663,0
2010-01-27,9.5522698342,14.1995061963,1
2010-01-28,12.731624025,14.8984255106,-1
2010-01-29,9.4306006886,10.6305919586,-1
2010-02-01,11.8634056082,14.072170629,1
2010-02-02,9.6415781438,14.7387438311,1
2010-02-03,9.4060048029,9.9411330209,-1
2010-02-04,12.4074926447,12.1609334923,-2
2010-02-05,9.6923698458,13.9076989516,0
2010-02-08,13.0402565804,17.3056974857,-1
2010-02-09,11.9159510342,16.8465501861,2
2010-02-10,8.9597461312,15.6242793328,-1
2010-02-11,10.4663202264,16.3569295918,1
2010-02-12,9.0743382072,11.0168747165,-1
2010-02-16,7.0075723978,16.2136126148,2
2010-02-17,9.1036498316,18.2175740988,1
2010-02-18,9.5929188215,13.5187505545,1
2010-02-19,8.4614816858,14.3614105493,1
2010-02-22,9.3529964164,10.8020586399,-1
2010-02-23,12.7942830741,14.2478162685,-1
2010-02-24,9.3425617066,15.4905068823,1
2010-02-25,7.3404102217,8.6860159129,-1
2010-02-26,9.0856648819,16.9729778561,0
2010-03-01,12.0393866377,18.7802574958,1
2010-03-02,11.9985507127,14.3393262454,0
2010-03-03,9.3264607965,12.5875188162,0
2010-03-04,10.9601043401,15.120352458,1
2010-03-05,7.4147991364,12.4005464681,1
2010-03-08,12.4671484085,12.5664083689,0
2010-03-09,12.082184582,15.6559001878,0
2010-03-10,11.5027918377,12.2482418393,0
2010-03-11,8.4729888371,11.1186968056,1
2010-03-12,13.5982554124,18.6788216874,0
2010-03-15,13.641253987,9.8415655459,1
2010-03-16,11.4465857884,14.2811801724,1
2010-03-17,7.5181806041,11.7971129565,1
2010-03-18,11.1184676399,11.297508078,1
